source_csv_row,study_id,es_id,offspring_sex,measurement_variable,crosscheck_status,crosscheck_package,crosscheck_notes,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source
185,abramova_2023_biopsy,es184,male,Head-out inspections,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 22",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 22"
186,abramova_2023_biopsy,es185,female,Head-out inspections,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 23",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 23"
187,abramova_2023_biopsy,es186,male,Overhangs,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,1.5,1.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 24",2.3,2.3,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 24"
188,abramova_2023_biopsy,es187,female,Overhangs,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,1.2,1.2,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 25",1.7,1.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 25"
189,abramova_2023_biopsy,es188,male,Rearing frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,1.8,1.8,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 26",1.3,1.3,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 26"
190,abramova_2023_biopsy,es189,female,Rearing frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,1.3,1.3,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 27",1.4,1.4,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 27"
191,abramova_2023_biopsy,es190,male,Total freezing time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 28",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 28"
192,abramova_2023_biopsy,es191,female,Total freezing time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 29",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 29"
193,abramova_2023_biopsy,es192,male,Total grooming time,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,6.9,6.9,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 30",6.6,6.6,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 30"
194,abramova_2023_biopsy,es193,female,Total grooming time,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,4.7,4.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 31",10.1,10.1,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 31"
195,abramova_2023_biopsy,es194,male,Grooming frequency,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 32",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 32"
196,abramova_2023_biopsy,es195,female,Grooming frequency,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 33",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 33"
197,abramova_2023_biopsy,es196,male,Mean grooming duration,Corrected transcription,7 – Abramova 2023 identifiers and units,"Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Mean grooming duration is a duration, not a percentage. | The source table reports mean grooming duration in seconds.",1.8,1.8,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 34",4.8,4.8,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 34"
198,abramova_2023_biopsy,es197,female,Mean grooming duration,Corrected transcription,7 – Abramova 2023 identifiers and units,"Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Mean grooming duration is a duration, not a percentage. | The source table reports mean grooming duration in seconds.",0.9,0.9,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 35",2.9,2.9,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 35"
199,abramova_2023_biopsy,es198,male,Sucrose preference index,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,5.8,5.8,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 36",4.4,4.4,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 36"
200,abramova_2023_biopsy,es199,female,Sucrose preference index,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,6.7,6.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 37",4.0,4.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 37"
201,abramova_2023_biopsy,es200,male,Total immobility time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 38",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 38"
202,abramova_2023_biopsy,es201,female,Total immobility time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 39",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 39"
203,abramova_2023_biopsy,es202,male,Total passive swimming,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,13.0,13.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 40",11.0,11.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 40"
204,abramova_2023_biopsy,es203,female,Total passive swimming,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,26.0,26.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 41",8.0,8.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 41"
205,abramova_2023_biopsy,es204,male,Total active swimming,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,7.0,7.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 42",5.0,5.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 42"
206,abramova_2023_biopsy,es205,female,Total active swimming,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,8.0,8.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 43",7.0,7.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 43"
207,abramova_2023_biopsy,es206,male,Number of dives,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 44",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 44"
208,abramova_2023_biopsy,es207,female,Number of dives,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 45",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 45"
